#		mu				x				y				z				dz				dy				dz
M	   4.9125474513576267e-11	   3.4015408775520578e-01	  -2.0445506885330580e-01	  -4.7720132913550130e-02	   9.0216811496973345e-03	   2.5381702913731579e-02	   1.2460349655638180e-03	
V	   7.2434524861524508e-10	   5.5249834838663714e-01	  -4.7692645359183422e-01	  -3.8382234291635259e-02	   1.3116772280090099e-02	   1.5217620209756319e-02	  -5.4833024594973310e-04	
E	   8.9970113742922535e-10	  -1.6830430618774911e-01	   9.6746816811565861e-01	  -1.6856696730010849e-04	  -1.7217654692470680e-02	  -3.0541168837809191e-03	   4.8729527165314168e-08	
M	   9.5495351057642926e-11	   1.3586907988536501e+00	  -2.7581717207602863e-01	  -3.9176995766251062e-02	   3.3227997505633081e-03	   1.4916413658285841e-02	   2.3087847052222471e-04	
J	   2.8253459095242270e-07	  -3.7267284395599072e+00	   3.7932598927306769e+00	   6.7560569323368305e-02	  -5.4727577503234466e-03	  -4.9330344065808222e-03	   1.4295895407925510e-04	
S	   8.4597151856805952e-08	  -5.4053130397587088e+00	  -8.3500908714373807e+00	   3.6030737423049880e-01	   4.3784187921239118e-03	  -3.0472435848827072e-03	  -1.2126692056457390e-04	
U	   1.2920249167819975e-08	   1.9306563136542081e+01	   5.2505214761848453e+00	  -2.3062047598484350e-01	  -1.0608720468895619e-03	   3.6119304493173170e-03	   2.7161994231227359e-05	
N	   1.5243589007842180e-08	   2.7529710053238460e+01	  -1.1843782275321059e+01	  -3.9054179483156121e-01	   1.2197037404459701e-03	   2.9022236414154939e-03	  -8.7875017939924484e-05	
P	   2.1886997660792695e-12	   7.4006208978133534e+00	  -3.1919811494821619e+01	   1.2749070600717329e+00	   3.1202574819410131e-03	   6.9204014464680738e-05	  -9.0997146624988959e-04	
S	   2.9591220828559115e-04	   2.8410293630421000e-03	  -8.5514461211595293e-04	  -1.3721984624851330e-04	   3.9747467643828327e-06	   5.2369840171749504e-06	  -9.7418638930742121e-08	
